Date,DayOfWeek,Promo,Weather,Temperature,Season,Sales
2023-03-14,Tuesday,1,Cloudy,12.7,Spring,249
2023-03-15,Wednesday,0,Cloudy,17.3,Spring,222
2023-03-16,Thursday,0,Rainy,15.8,Spring,157
2023-03-17,Friday,0,Cloudy,21.7,Spring,229
2023-03-18,Saturday,0,Rainy,17.2,Spring,202
2023-03-19,Sunday,0,Rainy,9.4,Spring,210
2023-03-20,Monday,0,Sunny,11.7,Spring,215
2023-03-21,Tuesday,1,Cloudy,12.7,Spring,260
2023-03-22,Wednesday,1,Rainy,17.2,Spring,234
2023-03-23,Thursday,0,Sunny,16.0,Spring,186
2023-03-24,Friday,0,Rainy,15.2,Spring,190
2023-03-25,Saturday,0,Cloudy,17.1,Spring,234
2023-03-26,Sunday,0,Snowy,12.6,Spring,213
2023-03-27,Monday,0,Cloudy,13.0,Spring,191
2023-03-28,Tuesday,0,Rainy,13.7,Spring,129
2023-03-29,Wednesday,0,Sunny,15.1,Spring,215
2023-03-30,Thursday,0,Rainy,18.1,Spring,176
2023-03-31,Friday,0,Rainy,15.7,Spring,153
2023-04-01,Saturday,0,Cloudy,13.1,Spring,270
2023-04-02,Sunday,0,Cloudy,13.9,Spring,257
2023-04-03,Monday,0,Cloudy,20.4,Spring,184
2023-04-04,Tuesday,0,Snowy,7.9,Spring,138
2023-04-05,Wednesday,0,Rainy,15.5,Spring,179
2023-04-06,Thursday,1,Sunny,22.5,Spring,289
2023-04-07,Friday,1,Snowy,14.5,Spring,186
2023-04-08,Saturday,0,Sunny,11.0,Spring,271
2023-04-09,Sunday,0,Sunny,21.7,Spring,265
2023-04-10,Monday,0,Rainy,14.1,Spring,192
2023-04-11,Tuesday,0,Cloudy,10.6,Spring,200
2023-04-12,Wednesday,0,Cloudy,12.7,Spring,189
2023-04-13,Thursday,0,Sunny,21.0,Spring,244
2023-04-14,Friday,0,Sunny,9.4,Spring,255
2023-04-15,Saturday,0,Sunny,20.1,Spring,259
2023-04-16,Sunday,0,Sunny,14.0,Spring,278
2023-04-17,Monday,1,Sunny,17.5,Spring,306
2023-04-18,Tuesday,0,Cloudy,12.9,Spring,171
2023-04-19,Wednesday,0,Sunny,22.0,Spring,224
2023-04-20,Thursday,1,Sunny,14.8,Spring,303
2023-04-21,Friday,0,Sunny,8.2,Spring,223
2023-04-22,Saturday,1,Rainy,12.8,Spring,280
2023-04-23,Sunday,0,Rainy,16.9,Spring,253
2023-04-24,Monday,0,Snowy,7.6,Spring,140
2023-04-25,Tuesday,0,Cloudy,12.0,Spring,181
2023-04-26,Wednesday,1,Sunny,11.2,Spring,303
2023-04-27,Thursday,1,Sunny,15.5,Spring,322
2023-04-28,Friday,0,Sunny,14.9,Spring,256
2023-04-29,Saturday,0,Cloudy,18.9,Spring,235
2023-04-30,Sunday,1,Sunny,14.7,Spring,323
2023-05-01,Monday,1,Cloudy,19.3,Spring,278
2023-05-02,Tuesday,0,Snowy,16.7,Spring,114
2023-05-03,Wednesday,1,Sunny,19.2,Spring,300
2023-05-04,Thursday,0,Cloudy,15.4,Spring,193
2023-05-05,Friday,0,Cloudy,11.4,Spring,228
2023-05-06,Saturday,0,Cloudy,16.1,Spring,271
2023-05-07,Sunday,1,Cloudy,20.6,Spring,321
2023-05-08,Monday,0,Cloudy,13.3,Spring,181
2023-05-09,Tuesday,0,Sunny,15.9,Spring,239
2023-05-10,Wednesday,1,Rainy,10.5,Spring,259
2023-05-11,Thursday,0,Rainy,12.9,Spring,157
2023-05-12,Friday,0,Snowy,20.7,Spring,149
2023-05-13,Saturday,1,Sunny,8.9,Spring,337
2023-05-14,Sunday,1,Snowy,16.1,Spring,310
2023-05-15,Monday,0,Rainy,12.1,Spring,159
2023-05-16,Tuesday,1,Rainy,25.1,Spring,270
2023-05-17,Wednesday,0,Rainy,13.6,Spring,186
2023-05-18,Thursday,0,Cloudy,20.5,Spring,202
2023-05-19,Friday,0,Cloudy,13.4,Spring,203
2023-05-20,Saturday,0,Sunny,17.6,Spring,274
2023-05-21,Sunday,1,Rainy,16.1,Spring,291
2023-05-22,Monday,0,Cloudy,15.5,Spring,169
2023-05-23,Tuesday,0,Cloudy,16.5,Spring,188
2023-05-24,Wednesday,0,Snowy,9.2,Spring,129
2023-05-25,Thursday,0,Sunny,12.7,Spring,233
2023-05-26,Friday,0,Cloudy,8.9,Spring,204
2023-05-27,Saturday,1,Sunny,20.8,Spring,356
2023-05-28,Sunday,1,Cloudy,17.6,Spring,344
2023-05-29,Monday,1,Rainy,22.2,Spring,252
2023-05-30,Tuesday,0,Cloudy,13.2,Spring,151
2023-05-31,Wednesday,0,Sunny,16.7,Spring,219
2023-06-01,Thursday,0,Cloudy,25.1,Summer,159
2023-06-02,Friday,0,Sunny,34.0,Summer,208
2023-06-03,Saturday,0,Sunny,29.6,Summer,257
2023-06-04,Sunday,1,Cloudy,30.2,Summer,356
2023-06-05,Monday,0,Cloudy,26.0,Summer,190
2023-06-06,Tuesday,1,Sunny,24.9,Summer,334
2023-06-07,Wednesday,0,Snowy,25.6,Summer,119
2023-06-08,Thursday,0,Sunny,27.0,Summer,210
2023-06-09,Friday,0,Sunny,30.2,Summer,210
2023-06-10,Saturday,0,Cloudy,28.3,Summer,279
2023-06-11,Sunday,1,Sunny,26.3,Summer,336
2023-06-12,Monday,1,Sunny,27.7,Summer,315
2023-06-13,Tuesday,0,Rainy,19.4,Summer,193
2023-06-14,Wednesday,1,Sunny,25.4,Summer,319
2023-06-15,Thursday,0,Sunny,29.3,Summer,213
2023-06-16,Friday,0,Cloudy,26.9,Summer,220
2023-06-17,Saturday,0,Sunny,24.8,Summer,271
2023-06-18,Sunday,0,Sunny,25.4,Summer,288
2023-06-19,Monday,0,Rainy,24.3,Summer,149
2023-06-20,Tuesday,0,Cloudy,24.0,Summer,217
2023-06-21,Wednesday,1,Cloudy,24.7,Summer,301
2023-06-22,Thursday,0,Snowy,28.2,Summer,172
2023-06-23,Friday,0,Cloudy,26.6,Summer,208
2023-06-24,Saturday,0,Cloudy,30.9,Summer,261
2023-06-25,Sunday,1,Rainy,25.6,Summer,300
2023-06-26,Monday,0,Sunny,20.0,Summer,207
2023-06-27,Tuesday,0,Sunny,30.0,Summer,265
2023-06-28,Wednesday,0,Cloudy,18.1,Summer,220
2023-06-29,Thursday,0,Cloudy,29.3,Summer,205
2023-06-30,Friday,0,Snowy,16.5,Summer,120
2023-07-01,Saturday,1,Rainy,17.1,Summer,318
2023-07-02,Sunday,0,Sunny,25.5,Summer,257
2023-07-03,Monday,0,Sunny,27.8,Summer,247
2023-07-04,Tuesday,0,Cloudy,25.2,Summer,185
2023-07-05,Wednesday,0,Rainy,21.5,Summer,187
2023-07-06,Thursday,1,Rainy,20.8,Summer,226
2023-07-07,Friday,1,Cloudy,24.4,Summer,277
2023-07-08,Saturday,0,Rainy,24.6,Summer,203
2023-07-09,Sunday,0,Cloudy,33.1,Summer,245
2023-07-10,Monday,0,Cloudy,21.8,Summer,200
2023-07-11,Tuesday,0,Cloudy,17.2,Summer,216
2023-07-12,Wednesday,0,Sunny,33.4,Summer,205
2023-07-13,Thursday,0,Snowy,20.4,Summer,111
2023-07-14,Friday,0,Rainy,30.5,Summer,148
2023-07-15,Saturday,1,Snowy,25.7,Summer,277
2023-07-16,Sunday,0,Cloudy,28.5,Summer,234
2023-07-17,Monday,0,Snowy,27.5,Summer,96
2023-07-18,Tuesday,0,Rainy,25.4,Summer,188
2023-07-19,Wednesday,1,Cloudy,30.0,Summer,264
2023-07-20,Thursday,0,Cloudy,30.4,Summer,199
2023-07-21,Friday,0,Cloudy,18.4,Summer,193
2023-07-22,Saturday,0,Sunny,24.6,Summer,271
2023-07-23,Sunday,0,Sunny,28.0,Summer,294
2023-07-24,Monday,0,Sunny,25.7,Summer,207
2023-07-25,Tuesday,0,Sunny,25.0,Summer,243
2023-07-26,Wednesday,0,Cloudy,18.2,Summer,176
2023-07-27,Thursday,1,Cloudy,12.0,Summer,287
2023-07-28,Friday,0,Sunny,25.6,Summer,243
2023-07-29,Saturday,0,Rainy,20.6,Summer,254
2023-07-30,Sunday,0,Sunny,21.7,Summer,257
2023-07-31,Monday,0,Cloudy,22.0,Summer,205
2023-08-01,Tuesday,0,Cloudy,27.3,Summer,240
2023-08-02,Wednesday,0,Sunny,25.9,Summer,200
2023-08-03,Thursday,0,Cloudy,30.9,Summer,219
2023-08-04,Friday,0,Sunny,23.7,Summer,231
2023-08-05,Saturday,0,Rainy,25.3,Summer,250
2023-08-06,Sunday,1,Cloudy,20.8,Summer,290
2023-08-07,Monday,0,Cloudy,26.5,Summer,217
2023-08-08,Tuesday,1,Cloudy,26.4,Summer,312
2023-08-09,Wednesday,1,Cloudy,25.9,Summer,287
2023-08-10,Thursday,1,Sunny,25.1,Summer,334
2023-08-11,Friday,0,Rainy,28.8,Summer,195
2023-08-12,Saturday,0,Rainy,20.7,Summer,231
2023-08-13,Sunday,0,Cloudy,31.0,Summer,247
2023-08-14,Monday,1,Sunny,28.2,Summer,308
2023-08-15,Tuesday,0,Sunny,33.6,Summer,224
2023-08-16,Wednesday,0,Rainy,31.3,Summer,221
2023-08-17,Thursday,0,Sunny,35.3,Summer,240
2023-08-18,Friday,0,Cloudy,25.0,Summer,190
2023-08-19,Saturday,1,Cloudy,19.3,Summer,315
2023-08-20,Sunday,0,Sunny,28.2,Summer,307
2023-08-21,Monday,0,Cloudy,23.1,Summer,237
2023-08-22,Tuesday,0,Sunny,16.2,Summer,217
2023-08-23,Wednesday,0,Rainy,19.2,Summer,169
2023-08-24,Thursday,0,Cloudy,27.3,Summer,206
2023-08-25,Friday,1,Cloudy,20.6,Summer,275
2023-08-26,Saturday,0,Cloudy,23.6,Summer,235
2023-08-27,Sunday,0,Sunny,28.7,Summer,271
2023-08-28,Monday,1,Sunny,22.4,Summer,274
2023-08-29,Tuesday,0,Rainy,16.9,Summer,155
2023-08-30,Wednesday,1,Rainy,25.3,Summer,263
2023-08-31,Thursday,0,Cloudy,19.6,Summer,208
2023-09-01,Friday,0,Rainy,13.1,Autumn,155
2023-09-02,Saturday,1,Rainy,9.2,Autumn,302
2023-09-03,Sunday,0,Cloudy,16.5,Autumn,248
2023-09-04,Monday,0,Rainy,17.6,Autumn,172
2023-09-05,Tuesday,0,Cloudy,11.2,Autumn,225
2023-09-06,Wednesday,1,Rainy,17.1,Autumn,243
2023-09-07,Thursday,0,Cloudy,21.3,Autumn,178
2023-09-08,Friday,0,Cloudy,14.8,Autumn,178
2023-09-09,Saturday,1,Rainy,15.3,Autumn,306
2023-09-10,Sunday,0,Cloudy,18.3,Autumn,229
2023-09-11,Monday,0,Cloudy,18.2,Autumn,199
2023-09-12,Tuesday,0,Sunny,11.5,Autumn,212
2023-09-13,Wednesday,0,Cloudy,17.0,Autumn,191
2023-09-14,Thursday,0,Snowy,17.8,Autumn,130
2023-09-15,Friday,0,Cloudy,16.5,Autumn,173
2023-09-16,Saturday,0,Rainy,13.7,Autumn,227
2023-09-17,Sunday,1,Cloudy,15.7,Autumn,367
2023-09-18,Monday,0,Rainy,16.4,Autumn,159
2023-09-19,Tuesday,1,Snowy,15.1,Autumn,214
2023-09-20,Wednesday,1,Cloudy,16.2,Autumn,287
2023-09-21,Thursday,0,Sunny,16.2,Autumn,187
2023-09-22,Friday,0,Sunny,12.3,Autumn,221
2023-09-23,Saturday,0,Cloudy,16.9,Autumn,260
2023-09-24,Sunday,1,Rainy,5.7,Autumn,310
2023-09-25,Monday,1,Rainy,19.6,Autumn,264
2023-09-26,Tuesday,0,Rainy,12.3,Autumn,172
2023-09-27,Wednesday,1,Rainy,10.0,Autumn,223
2023-09-28,Thursday,0,Sunny,12.7,Autumn,189
2023-09-29,Friday,0,Rainy,14.3,Autumn,196
2023-09-30,Saturday,0,Sunny,10.0,Autumn,263
2023-10-01,Sunday,0,Cloudy,10.2,Autumn,219
2023-10-02,Monday,0,Rainy,16.6,Autumn,160
2023-10-03,Tuesday,0,Sunny,11.9,Autumn,202
2023-10-04,Wednesday,0,Sunny,13.3,Autumn,215
2023-10-05,Thursday,1,Cloudy,12.6,Autumn,280
2023-10-06,Friday,0,Snowy,14.4,Autumn,117
2023-10-07,Saturday,0,Rainy,10.8,Autumn,221
2023-10-08,Sunday,0,Rainy,14.7,Autumn,207
2023-10-09,Monday,0,Sunny,18.6,Autumn,214
2023-10-10,Tuesday,1,Cloudy,6.0,Autumn,306
2023-10-11,Wednesday,1,Cloudy,8.6,Autumn,275
2023-10-12,Thursday,1,Sunny,12.2,Autumn,266
2023-10-13,Friday,0,Cloudy,12.9,Autumn,205
2023-10-14,Saturday,0,Sunny,13.0,Autumn,261
2023-10-15,Sunday,0,Sunny,15.2,Autumn,264
2023-10-16,Monday,0,Snowy,14.5,Autumn,137
2023-10-17,Tuesday,0,Sunny,19.9,Autumn,264
2023-10-18,Wednesday,1,Cloudy,10.5,Autumn,276
2023-10-19,Thursday,0,Snowy,8.7,Autumn,144
2023-10-20,Friday,0,Cloudy,20.8,Autumn,175
2023-10-21,Saturday,0,Sunny,14.0,Autumn,279
2023-10-22,Sunday,0,Cloudy,11.6,Autumn,262
2023-10-23,Monday,1,Sunny,17.5,Autumn,298
2023-10-24,Tuesday,0,Sunny,18.5,Autumn,177
2023-10-25,Wednesday,0,Cloudy,15.1,Autumn,212
2023-10-26,Thursday,0,Snowy,17.5,Autumn,151
2023-10-27,Friday,0,Snowy,17.5,Autumn,158
2023-10-28,Saturday,0,Sunny,16.4,Autumn,289
2023-10-29,Sunday,0,Sunny,10.4,Autumn,278
2023-10-30,Monday,1,Cloudy,17.3,Autumn,279
2023-10-31,Tuesday,0,Rainy,9.8,Autumn,163
2023-11-01,Wednesday,1,Snowy,9.7,Autumn,233
2023-11-02,Thursday,0,Sunny,9.9,Autumn,201
2023-11-03,Friday,1,Snowy,5.0,Autumn,232
2023-11-04,Saturday,1,Cloudy,0.9,Autumn,333
2023-11-05,Sunday,0,Cloudy,9.1,Autumn,259
2023-11-06,Monday,0,Rainy,12.9,Autumn,134
2023-11-07,Tuesday,0,Sunny,17.5,Autumn,220
2023-11-08,Wednesday,0,Sunny,16.3,Autumn,202
2023-11-09,Thursday,0,Sunny,16.5,Autumn,225
2023-11-10,Friday,0,Snowy,14.1,Autumn,128
2023-11-11,Saturday,0,Sunny,17.9,Autumn,271
2023-11-12,Sunday,0,Sunny,12.4,Autumn,260
2023-11-13,Monday,1,Rainy,8.1,Autumn,239
2023-11-14,Tuesday,1,Rainy,15.5,Autumn,227
2023-11-15,Wednesday,0,Cloudy,16.3,Autumn,207
2023-11-16,Thursday,1,Sunny,9.4,Autumn,312
2023-11-17,Friday,1,Sunny,9.0,Autumn,314
2023-11-18,Saturday,0,Sunny,2.8,Autumn,266
2023-11-19,Sunday,0,Rainy,15.2,Autumn,196
2023-11-20,Monday,1,Cloudy,15.7,Autumn,291
2023-11-21,Tuesday,0,Sunny,7.1,Autumn,223
2023-11-22,Wednesday,1,Sunny,12.1,Autumn,329
2023-11-23,Thursday,0,Sunny,19.6,Autumn,220
2023-11-24,Friday,1,Sunny,11.5,Autumn,293
2023-11-25,Saturday,0,Cloudy,17.6,Autumn,281
2023-11-26,Sunday,0,Sunny,16.9,Autumn,268
2023-11-27,Monday,1,Sunny,13.7,Autumn,340
2023-11-28,Tuesday,0,Sunny,4.2,Autumn,250
2023-11-29,Wednesday,0,Sunny,15.4,Autumn,188
2023-11-30,Thursday,0,Rainy,14.7,Autumn,170
2023-12-01,Friday,1,Sunny,14.0,Winter,280
2023-12-02,Saturday,0,Cloudy,7.4,Winter,262
2023-12-03,Sunday,0,Cloudy,2.6,Winter,291
2023-12-04,Monday,0,Sunny,3.8,Winter,246
2023-12-05,Tuesday,0,Cloudy,-4.3,Winter,160
2023-12-06,Wednesday,0,Sunny,9.5,Winter,233
2023-12-07,Thursday,1,Rainy,14.9,Winter,232
2023-12-08,Friday,1,Snowy,-1.7,Winter,250
2023-12-09,Saturday,0,Sunny,-1.3,Winter,217
2023-12-10,Sunday,1,Cloudy,6.0,Winter,353
2023-12-11,Monday,0,Cloudy,-3.9,Winter,206
2023-12-12,Tuesday,0,Rainy,2.6,Winter,148
2023-12-13,Wednesday,0,Sunny,8.4,Winter,185
2023-12-14,Thursday,0,Cloudy,1.6,Winter,194
2023-12-15,Friday,1,Snowy,2.0,Winter,221
2023-12-16,Saturday,1,Sunny,1.0,Winter,319
2023-12-17,Sunday,0,Cloudy,3.1,Winter,262
2023-12-18,Monday,1,Cloudy,4.1,Winter,289
2023-12-19,Tuesday,1,Cloudy,9.2,Winter,288
2023-12-20,Wednesday,1,Rainy,8.9,Winter,242
2023-12-21,Thursday,1,Cloudy,3.5,Winter,297
2023-12-22,Friday,0,Snowy,7.9,Winter,148
2023-12-23,Saturday,0,Cloudy,-5.8,Winter,263
2023-12-24,Sunday,0,Cloudy,3.0,Winter,255
2023-12-25,Monday,1,Sunny,3.2,Winter,279
2023-12-26,Tuesday,0,Sunny,-1.8,Winter,185
2023-12-27,Wednesday,0,Sunny,4.2,Winter,242
2023-12-28,Thursday,0,Rainy,12.2,Winter,150
2023-12-29,Friday,0,Snowy,5.2,Winter,157
2023-12-30,Saturday,0,Sunny,10.2,Winter,241
2023-12-31,Sunday,0,Sunny,6.0,Winter,259
